Sp,Estado,Diametro,
Cyonoscion analis,Vtg2,175.2383724,
Cyonoscion analis,Vtg2,135.0697535,
Cyonoscion analis,Vtg2,198.8671438,
Cyonoscion analis,Vtg2,185.0881941,
Cyonoscion analis,Vtg2,138.5440871,
Cyonoscion analis,Vtg2,251.3341594,
Cyonoscion analis,Vtg2,181.977205,
Cyonoscion analis,Vtg2,241.9107372,
Cyonoscion analis,Vtg2,231.8636485,
Cyonoscion analis,Vtg2,183.1639155,
Cyonoscion analis,Vtg2,125.1264799,
Cyonoscion analis,Vtg2,175.5796043,
Cyonoscion analis,Vtg2,213.8630091,
Cyonoscion analis,Vtg2,248.6617485,
Cyonoscion analis,Vtg2,280.6107423,
Cyonoscion analis,Vtg2,266.4065327,
Cyonoscion analis,Vtg2,241.0200762,
Cyonoscion analis,Vtg2,235.959021,
Cyonoscion analis,Vtg2,235.6994826,
Cyonoscion analis,Vtg2,280.7988157,
Cyonoscion analis,Vtg2,223.8305433,
Cyonoscion analis,Vtg2,204.4026697,
Cyonoscion analis,Vtg2,84.69957136,
Cyonoscion analis,Vtg2,230.3022245,
Cyonoscion analis,Vtg2,198.6461428,
Cyonoscion analis,Vtg2,221.4446061,
Cyonoscion analis,Vtg2,130.978031,
Cyonoscion analis,Vtg2,250.4171109,
Cyonoscion analis,Vtg2,121.8765532,
Cyonoscion analis,Vtg2,131.897953,
Cyonoscion analis,Vtg2,93.02201901,
Cyonoscion analis,Vtg2,208.1121275,
Cyonoscion analis,Vtg2,117.9527874,
Cyonoscion analis,Vtg2,286.3784027,
Cyonoscion analis,Vtg2,235.5663909,
Cyonoscion analis,Vtg2,279.6623522,
Cyonoscion analis,Vtg2,202.6447957,
Cyonoscion analis,Vtg2,206.2218526,
Cyonoscion analis,Vtg2,274.2610209,
Cyonoscion analis,Vtg2,257.7988328,
Cyonoscion analis,Vtg3,334.6843886,
Cyonoscion analis,Vtg3,310.2835265,
Cyonoscion analis,Vtg3,285.0968831,
Cyonoscion analis,Vtg3,325.1238494,
Cyonoscion analis,Vtg3,349.9320837,
Cyonoscion analis,Vtg3,368.0713059,
Cyonoscion analis,Vtg3,387.2269511,
Cyonoscion analis,Vtg3,343.3844096,
Cyonoscion analis,Vtg3,350.4245413,
Cyonoscion analis,Vtg3,315.2443965,
Cyonoscion analis,Vtg3,396.6273432,
Cyonoscion analis,Vtg3,331.5395905,
Cyonoscion analis,Vtg3,316.957502,
Cyonoscion analis,Vtg3,373.2892154,
Cyonoscion analis,Vtg3,327.121653,
Cyonoscion analis,Vtg3,381.4347787,
Cyonoscion analis,Vtg3,394.6356905,
Cyonoscion analis,Vtg3,364.8471406,
Cyonoscion analis,Vtg3,421.4656466,
Cyonoscion analis,Vtg3,401.8215392,
Cyonoscion analis,Vtg3,376.0782432,
Cyonoscion analis,Vtg3,313.4311505,
Cyonoscion analis,Vtg3,376.3380307,
Cyonoscion analis,Vtg3,229.103937,
Cyonoscion analis,Vtg3,292.3435953,
Cyonoscion analis,Vtg3,333.8506325,
Cyonoscion analis,Vtg3,359.7246643,
Cyonoscion analis,Vtg3,343.8487612,
Cyonoscion analis,Vtg3,435.5482299,
Cyonoscion analis,Vtg3,403.9079378,
Cyonoscion analis,Vtg3,262.7936509,
Cyonoscion analis,Vtg3,344.593236,
Cyonoscion analis,Vtg3,372.8573629,
Cyonoscion analis,Vtg3,329.5769073,
Cyonoscion analis,Vtg3,358.9097029,
Cyonoscion analis,Vtg3,347.2324273,
Cyonoscion analis,Vtg3,249.0185716,
Cyonoscion analis,Vtg3,392.0762655,
Cyonoscion analis,Vtg3,402.1602115,
Cyonoscion analis,Vtg3,268.2737608,
Cyonoscion analis,Vtg3,282.1365663,
Cyonoscion analis,Vtg3,350.9898485,
Cyonoscion analis,Vtg3,365.9406882,
Cyonoscion analis,Vtg3,339.4623217,
Cyonoscion analis,Vtg3,349.2712148,
Cyonoscion analis,Vtg3,346.4314739,
Cyonoscion analis,Vtg3,280.9746898,
Cyonoscion analis,Vtg3,388.6559008,
Cyonoscion analis,Vtg3,362.5207061,
Cyonoscion analis,Vtg3,315.3460313,
Cyonoscion analis,Vtg4,420.2132049,
Cyonoscion analis,Vtg4,473.2406726,
Cyonoscion analis,Vtg4,433.4970375,
Cyonoscion analis,Vtg4,442.69899,
Cyonoscion analis,Vtg4,482.3222951,
Cyonoscion analis,Vtg4,468.405861,
Cyonoscion analis,Vtg4,447.3145603,
Cyonoscion analis,Vtg4,415.2270749,
Cyonoscion analis,Vtg4,491.8963832,
Cyonoscion analis,Vtg4,393.0361628,
Cyonoscion analis,Vtg4,449.1152966,
Cyonoscion analis,Vtg4,450.123824,
Cyonoscion analis,Vtg4,463.2361927,
Cyonoscion analis,Vtg4,374.1270725,
Cyonoscion analis,Vtg4,364.3749234,
Cyonoscion analis,Vtg4,403.5758874,
Cyonoscion analis,Vtg4,389.3797085,
Cyonoscion analis,Vtg4,385.9894303,
Cyonoscion analis,Vtg4,426.1894098,
Cyonoscion analis,Vtg4,438.1038872,
Cyonoscion analis,Vtg4,361.1686088,
Cyonoscion analis,Vtg4,474.8116236,
Cyonoscion analis,Vtg4,478.1508539,
Cyonoscion analis,Vtg4,426.9026255,
Cyonoscion analis,Vtg4,472.0781761,
Cyonoscion analis,Vtg4,522.7205788,
Cyonoscion analis,Vtg4,466.1690119,
Cyonoscion analis,Vtg4,423.790391,
Cyonoscion analis,Vtg4,409.5644653,
Cyonoscion analis,Vtg4,463.4193801,
Cyonoscion analis,Vtg4,386.4484262,
Cyonoscion analis,Vtg4,515.3733568,
Cyonoscion analis,Vtg4,434.4988946,
Cyonoscion analis,Vtg4,357.1680585,
Cyonoscion analis,Vtg4,429.1471764,
Cyonoscion analis,Vtg4,471.298984,
Cyonoscion analis,Vtg4,421.5418818,
Cyonoscion analis,Vtg4,393.1136642,
Cyonoscion analis,Vtg4,420.2029702,
Cyonoscion analis,Vtg4,369.292992,
Cyonoscion analis,Vtg4,444.4400967,
Cyonoscion analis,Vtg4,425.0048983,
Cyonoscion analis,Vtg4,425.7940826,
Cyonoscion analis,Vtg4,448.9945004,
Cyonoscion analis,Vtg4,411.1503895,
Cyonoscion analis,Vtg4,484.0036922,
Cyonoscion analis,Vtg4,394.7591658,
Cyonoscion analis,Vtg4,421.8317631,
Cyonoscion analis,Vtg4,364.1531062,
Cyonoscion analis,Vtg4,426.4601173,
Cyonoscion analis,GVM,556.2992431,
Cyonoscion analis,GVM,543.3174856,
Cyonoscion analis,GVM,589.9494207,
Cyonoscion analis,GVM,503.4328222,
Cyonoscion analis,GVM,495.4407359,
Cyonoscion analis,GVM,588.9142214,
Cyonoscion analis,GVM,467.1003055,
Cyonoscion analis,GVM,434.7114203,
Cyonoscion analis,GVM,461.2305452,
Cyonoscion analis,GVM,572.4956215,
Cyonoscion analis,GVM,507.859096,
Cyonoscion analis,GVM,534.4419458,
Cyonoscion analis,GVM,444.2881651,
Cyonoscion analis,GVM,420.6871807,
Cyonoscion analis,GVM,412.4325098,
Cyonoscion analis,GVM,460.4642166,
Cyonoscion analis,GVM,554.5837123,
Cyonoscion analis,GVM,543.2005504,
Cyonoscion analis,GVM,508.6316436,
Cyonoscion analis,GVM,515.5233159,
Cyonoscion analis,GVM,329.0844803,
Cyonoscion analis,GVM,438.746993,
Cyonoscion analis,GVM,474.73771,
Cyonoscion analis,GVM,576.1940368,
Cyonoscion analis,GVM,447.1794921,
Cyonoscion analis,GVM,365.8701082,
Cyonoscion analis,GVM,416.3352277,
Cyonoscion analis,GVM,543.7258653,
Cyonoscion analis,GVM,364.2809239,
Cyonoscion analis,GVM,567.4199915,
Cyonoscion analis,GVM,507.3928266,
Cyonoscion analis,GVM,512.9660065,
Cyonoscion analis,GVM,566.2761186,
Cyonoscion analis,GVM,655.8653773,
Cyonoscion analis,GVM,488.7928221,
Cyonoscion analis,GVM,522.2094963,
Cyonoscion analis,GVM,402.1738407,
Cyonoscion analis,GVM,462.7183686,
Cyonoscion analis,GVM,553.3469786,
Cyonoscion analis,GVM,364.9860619,
Cyonoscion analis,GVM,424.1616684,
Cyonoscion analis,GVM,610.1981939,
Cyonoscion analis,GVM,540.2829416,
Cyonoscion analis,GVM,518.6391397,
Cyonoscion analis,GVM,458.3662856,
Cyonoscion analis,GVM,594.4151403,
Cyonoscion analis,GVM,428.7980623,
Cyonoscion analis,GVM,344.3477476,
Cyonoscion analis,GVM,558.4392076,
Cyonoscion analis,GVM,361.7193807,
Cyonoscion analis,Hyd,530.4876542,
Cyonoscion analis,Hyd,630.102063,
Cyonoscion analis,Hyd,590.352772,
Cyonoscion analis,Hyd,600.6028951,
Cyonoscion analis,Hyd,630.4442406,
Cyonoscion analis,Hyd,739.5543601,
Cyonoscion analis,Hyd,637.6144576,
Cyonoscion analis,Hyd,466.6538289,
Cyonoscion analis,Hyd,768.12518,
Cyonoscion analis,Hyd,719.8570468,
Cyonoscion analis,Hyd,651.4621376,
Cyonoscion analis,Hyd,459.0993623,
Cyonoscion analis,Hyd,730.4824433,
Cyonoscion analis,Hyd,591.0259947,
Cyonoscion analis,Hyd,772.7276012,
Cyonoscion analis,Hyd,711.1896199,
Cyonoscion analis,Hyd,689.1202685,
Cyonoscion analis,Hyd,654.0345526,
Cyonoscion analis,Hyd,764.0515722,
Cyonoscion analis,Hyd,546.4183127,
Cyonoscion analis,Hyd,603.9402599,
Cyonoscion analis,Hyd,656.2471136,
Cyonoscion analis,Hyd,683.6104049,
Cyonoscion analis,Hyd,680.0422033,
Cyonoscion analis,Hyd,693.7684222,
Cyonoscion analis,Hyd,670.1751124,
Cyonoscion analis,Hyd,565.3087349,
Cyonoscion analis,Hyd,556.8151831,
Cyonoscion analis,Hyd,627.0506692,
Cyonoscion analis,Hyd,710.9017451,
Cyonoscion analis,Hyd,654.2510024,
Cyonoscion analis,Hyd,670.1638253,
Cyonoscion analis,Hyd,589.7654327,
Cyonoscion analis,Hyd,697.0543878,
Cyonoscion analis,Hyd,585.0170508,
Cyonoscion analis,Hyd,503.656255,
Cyonoscion analis,Hyd,746.6885498,
Cyonoscion analis,Hyd,642.8284612,
Cyonoscion analis,Hyd,554.9207037,
Cyonoscion analis,Hyd,685.2823078,
Cyonoscion analis,Hyd,640.1352549,
Cyonoscion analis,Hyd,646.090283,
Cyonoscion analis,Hyd,603.5804711,
Cyonoscion analis,Hyd,651.4681959,
Cyonoscion analis,Hyd,630.5275267,
Cyonoscion analis,Hyd,615.9992651,
Cyonoscion analis,Hyd,496.0873749,
Cyonoscion analis,Hyd,657.0075493,
Cyonoscion analis,Hyd,622.6883425,
Cyonoscion analis,Hyd,681.261889,x
Menticirrhus ophicephalus,Pg1,33.85528818,
Menticirrhus ophicephalus,Pg1,35.09466018,
Menticirrhus ophicephalus,Pg1,26.90696685,
Menticirrhus ophicephalus,Pg1,23.46502827,
Menticirrhus ophicephalus,Pg1,34.05887456,
Menticirrhus ophicephalus,Pg1,9.820440323,
Menticirrhus ophicephalus,Pg1,34.30098551,
Menticirrhus ophicephalus,Pg1,25.23815895,
Menticirrhus ophicephalus,Pg1,25.15840256,
Menticirrhus ophicephalus,Pg1,18.80677998,
Menticirrhus ophicephalus,Pg1,26.83752194,
Menticirrhus ophicephalus,Pg1,46.17312044,
Menticirrhus ophicephalus,Pg1,31.70627864,
Menticirrhus ophicephalus,Pg1,33.20216458,
Menticirrhus ophicephalus,Pg1,20.49468005,
Menticirrhus ophicephalus,Pg1,36.1689984,
Menticirrhus ophicephalus,Pg1,19.13642479,
Menticirrhus ophicephalus,Pg1,24.6842241,
Menticirrhus ophicephalus,Pg1,39.20712652,
Menticirrhus ophicephalus,Pg1,30.98723699,
Menticirrhus ophicephalus,Pg1,35.79621925,
Menticirrhus ophicephalus,Pg1,42.55785082,
Menticirrhus ophicephalus,Pg1,21.55671571,
Menticirrhus ophicephalus,Pg1,12.46862595,
