Sp,LT,LS,Peso,Peso_ev,P_gonad,FC,IGS,Fec,Fec2,Fec_parcial,A,B,ale,Npulso,
Cynoscion analis,28.7,23.9,215,190,8.22,0.909479197,4.326315789,15710.7,15982.7,1911.277372,1880,257.1,272,2.199393039,
Cynoscion analis,28.7,24,235,200,11.54,0.994081913,5.77,21952.3,21829.3,1902.279029,1880,257.1,-123,2.280969165,
Cynoscion analis,28.9,24.3,250,220,13.22,1.03572982,6.009090909,25110.7,25036.7,1899.447806,1880,257.1,-74,2.315713583,
Cynoscion analis,29.2,24.1,270,240,22.69,1.084464175,9.454166667,42914.3,42818.3,1891.330983,1880,257.1,-96,2.448873023,
Cynoscion analis,29.2,24.5,245,215,15.07,0.984050826,7.009302326,28588.7,28481.7,1897.060385,1880,257.1,-107,2.348141337,
Sciaena deliciosa,30,25.3,420,370,17.3,1.555555556,4.675675676,16542.17,16579.17,956.1947977,896.9,1025.8,37,4.412869423,
Sciaena deliciosa,30.6,26,380,350,14,1.326231434,4,13582.4,13541.4,970.1714286,896.9,1025.8,-41,4.258694335,
Menticirrhus ophicephalus,30.8,26,325,295,22.13,1.112323753,7.501694915,73387.59,73577.59,3316.203796,3443,-2806,190,1.467565282,
Sciaena deliciosa,31,26,325,300,10.4,1.090933503,3.466666667,10353.56,10418.56,995.5346154,896.9,1025.8,65,4.035829227,
Sciaena deliciosa,31.1,25.5,485,425,26.91,1.612354639,6.331764706,25161.379,25573.379,935.0196581,896.9,1025.8,412,4.714112775,
Cynoscion analis,31.2,27.7,290,250,17.72,0.954847941,7.088,33570.7,33736.7,1894.509029,1880,257.1,166,2.390119302,
Cynoscion analis,31.6,28.5,350,310,27.3,1.109192173,8.806451613,51581.1,51722.1,1889.417582,1880,257.1,141,2.494777329,
Menticirrhus ophicephalus,32.5,19.2,140,130,3.07,0.407828858,2.361538462,7764.01,8134.01,2528.993485,3443,-2806,370,1.546190105,
Sciaena deliciosa,33,28.5,530,470,20.82,1.474803128,4.429787234,19699.258,19878.258,946.1699328,896.9,1025.8,179,4.54292424,
Sciaena deliciosa,33.4,28.1,470,410,20.2,1.261416355,4.926829268,19143.18,18978.18,947.6821782,896.9,1025.8,-165,4.514440241,
Menticirrhus ophicephalus,34.3,27.5,410,359,34.42,1.016018221,9.587743733,115702.06,115978.06,3361.477629,3443,-2806,276,1.506592159,
Sciaena deliciosa,34.5,29.2,495,465,12.8,1.205446426,2.752688172,12506.12,12694.12,977.040625,896.9,1025.8,188,4.200032726,
Sciaena deliciosa,34.9,30.1,555,510,17.22,1.305619724,3.376470588,16470.418,16467.418,956.4702671,896.9,1025.8,-3,4.408527536,
Sciaena deliciosa,36.2,31.7,650,600,22.88,1.370211616,3.813333333,21546.872,21432.872,941.7339161,896.9,1025.8,-114,4.599048942,
Sciaena deliciosa,46,39,1070,1010,24.5,1.099284951,2.425742574,22999.85,23081.85,938.7693878,896.9,1025.8,82,4.647862054,
