Sp,Estado,Rec,Diametro
Cyonoscion analis,GVM,Vit,364.2809239
Cyonoscion analis,GVM,Vit,567.4199915
Cyonoscion analis,GVM,Vit,507.3928266
Cyonoscion analis,GVM,Vit,512.9660065
Cyonoscion analis,GVM,Vit,566.2761186
Cyonoscion analis,GVM,Vit,655.8653773
Cyonoscion analis,GVM,Vit,488.7928221
Cyonoscion analis,GVM,Vit,522.2094963
Cyonoscion analis,GVM,Vit,402.1738407
Cyonoscion analis,GVM,Vit,462.7183686
Cyonoscion analis,GVM,Vit,553.3469786
Cyonoscion analis,GVM,Vit,364.9860619
Cyonoscion analis,GVM,Vit,424.1616684
Cyonoscion analis,GVM,Vit,610.1981939
Cyonoscion analis,GVM,Vit,540.2829416
Cyonoscion analis,GVM,Vit,518.6391397
Cyonoscion analis,GVM,Vit,458.3662856
Cyonoscion analis,GVM,Vit,594.4151403
Cyonoscion analis,GVM,Vit,428.7980623
Cyonoscion analis,GVM,Vit,344.3477476
Cyonoscion analis,GVM,Vit,558.4392076
Cyonoscion analis,GVM,Vit,361.7193807
Cyonoscion analis,Hyd,Vit,530.4876542
Cyonoscion analis,Hyd,Vit,630.102063
Cyonoscion analis,Hyd,Vit,590.352772
Cyonoscion analis,Hyd,Vit,600.6028951
Cyonoscion analis,Hyd,Vit,630.4442406
Cyonoscion analis,Hyd,Vit,739.5543601
Cyonoscion analis,Hyd,Vit,637.6144576
Cyonoscion analis,Hyd,Vit,466.6538289
Cyonoscion analis,Hyd,Vit,768.12518
Cyonoscion analis,Hyd,Vit,719.8570468
Cyonoscion analis,Hyd,Vit,651.4621376
Cyonoscion analis,Hyd,Vit,459.0993623
Cyonoscion analis,Hyd,Vit,730.4824433
Cyonoscion analis,Hyd,Vit,591.0259947
Cyonoscion analis,Hyd,Vit,772.7276012
Cyonoscion analis,Hyd,Vit,711.1896199
Cyonoscion analis,Hyd,Vit,689.1202685
Cyonoscion analis,Hyd,Vit,654.0345526
Cyonoscion analis,Hyd,Vit,764.0515722
Cyonoscion analis,Hyd,Vit,546.4183127
Cyonoscion analis,Hyd,Vit,603.9402599
Cyonoscion analis,Hyd,Vit,656.2471136
Cyonoscion analis,Hyd,Vit,683.6104049
Cyonoscion analis,Hyd,Vit,680.0422033
Cyonoscion analis,Hyd,Vit,693.7684222
Cyonoscion analis,Hyd,Vit,670.1751124
Cyonoscion analis,Hyd,Vit,565.3087349
Cyonoscion analis,Hyd,Vit,556.8151831
Cyonoscion analis,Hyd,Vit,627.0506692
Cyonoscion analis,Hyd,Vit,710.9017451
Cyonoscion analis,Hyd,Vit,654.2510024
